City;Region;Country;AirQuality;WaterPollution;ph;Hardness;Solids;Chloramines;Sulfate;Conductivity;Organic_carbon;Trihalomethanes;Turbidity;Potability
Rawalpindi;Punjab;Pakistan;3.333.333.333;7.934.782.609;8.397.248.095.971.370;19.949.581.125.276.500;16.772.226.246.243.300;8.117.217.578.033.460;34.340.376.443.527.800;40.246.490.555.321.700;17.236.047.164.549.900;758.535.486.015.202;28.357.942.842.945.400;0
Chrzanow;Lesser Poland Voivodeship;Poland;37.5;50;8.828.326.657.522.400;1.899.755.526.527.980;13.527.989.885.696.500;7.145.967.391.374.080;4.085.912.084.282.960;33.851.245.900.048.800;18.543.500.286.509.500;;3.052.822.147.979.240;0
Gaziantep;Gaziantep Province;Turkey;25;37.5;939.584.220.217.389;16.215.770.036.445.800;9.225.770.910.795.440;8.275.034.896.305.960;;4.515.246.290.062.900;1.263.270.714.422.170;8.024.988.573.739.250;35.304.983.249.278.600;0
Sugar Land;Texas;United States of America;87.5;37.5;7.593.176.933.452.910;20.106.873.653.884.200;19.214.186.356.768.600;7.710.119.970.074.890;3.513.860.801.079.070;451.211.448.561.067;4.371.898.608.441.140;7.467.398.585.297.590;354.209.264.375.375;0
Mostar;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina;9.318.181.818;35;5.149.133.288.190.240;19.833.244.017.716.200;1.679.531.867.435.860;6.708.067.810.613.260;32.695.261.694.902.100;303.333.632.377.947;12.510.886.657.115.200;6.637.637.396.769.550;4.839.176.157.668.720;0
Oradea;;Romania;6.547.619.048;2.666.666.667;4.916.740.541.260.800;19.146.711.027.690.200;23.425.331.315.980.800;6.857.582.643.361.020;;316.422.251.309.072;18.281.754.024.014.300;43.433.240.093.063.900;3.613.212.411.606.130;0
Novokuznetsk;Kemerovo Oblast;Russia;0;45;;2.028.869.901.455.420;24.518.574.297.359.000;7.217.408.449.597.960;36.015.411.334.226.800;49.235.206.101.337.400;16.743.288.670.041.600;7.271.012.690.989.580;4.174.568.875.723.490;0
Greeley;Colorado;United States of America;95;0;73.712.898.766.050.600;18.073.652.626.932.300;25.672.311.996.021.100;7.377.422.362.740.060;31.056.746.710.632.500;2.980.530.572.539.990;12.671.607.097.853.600;275.593.548.827.384;4.084.696.775.133.460;0
Waukesha;Wisconsin;United States of America;87.5;50;8.278.752.740.755.200;20.016.222.287.284.200;2.938.193.640.510.800;72.498.787.276.837.700;;45.647.067.281.501.300;15.160.640.701.933.500;7.033.705.675.510.570;4.767.722.384.161.320;0
Appleton;Wisconsin;United States of America;8.928.571.429;25;10.202.971.547.604.700;21.196.340.447.145.400;2.170.894.928.637.850;7.491.895.007.649.890;;395.140.783.042.147;21.520.593.033.211.700;6.265.946.006.998.250;32.709.037.528.479.600;0
Magnitogorsk;Chelyabinsk Oblast;Russia;0;7.272.727.273;4.562.156.482.672.160;1.892.614.176.062.630;2.382.979.288.043.370;7.815.124.720.572.090;32.516.737.135.090.300;40.155.165.666.090.500;13.624.148.222.767.700;;4.822.883.763.716.860;0
Nizhny Tagil;Sverdlovsk Oblast;Russia;0;100;;20.595.225.013.932.700;29.743.822.595.234.500;7.518.692.008.798.690;;43.024.601.010.708.200;207.204.728.836.129;8.239.676.576.905.180;3.893.925.990.895.260;0
Volzhsky;;Russia;0;75;5.202.672.012.815.980;19.532.968.870.541.400;2.305.144.185.713.560;6.959.567.222.404.000;24.572.894.850.146.600;4.735.484.840.274.560;11.659.196.215.970.700;495.223.302.805.099;39.279.805.758.489.700;0
Ourense;Galicia;Spain;100;3.333.333.333;914.973.392.673.672;2.305.618.992.529.330;3.046.864.182.648.060;7.667.655.265.787.090;3.375.579.719.917.090;5.396.250.370.863.360;1.613.349.894.678.950;5.813.452.670.034.250;5.436.819.303.585.550;0
Ibb;Ibb Governorate;Yemen;100;75;7.615.556.979.306.120;2.048.699.744.563.400;8.403.284.552.226.860;6.012.315.537.887.120;4.183.094.305.908.330;31.117.895.469.026.400;12.742.328.733.030.000;6.728.232.845.720.790;42.431.337.337.783.900;0
Cluj-Napoca;Cluj County;Romania;5.711.206.897;3.340.909.091;7.813.067.624.946.340;18.369.747.959.498.500;9.812.122.463.467.300;7.607.639.271.731.970;40.037.352.628.416.800;5.396.107.974.856.910;12.348.083.326.544.800;9.039.027.660.429.540;4.713.719.499.272.780;0
Newport;Wales;United Kingdom;8.214.285.714;5.833.333.333;7.721.032.687.967.830;2.033.547.883.821.450;35.800.699.273.176.400;7.683.399.375.833.110;31.291.904.442.520.700;4.249.669.947.448.050;18.092.608.300.288.300;9.644.212.931.944.310;4.168.487.101.902.510;0
Narva;Ida-Viru County;Estonia;75;6.666.666.667;9.056.244.707.341.860;19.766.630.098.297.200;1.740.353.216.686.130;7.688.917.071.627.440;3.374.601.764.979.320;414.766.630.759.681;15.349.868.992.441.600;6.369.674.586.955.930;3.319.353.736.685.140;0
Kielce;Swietokrzyskie Voivodeship;Poland;50;50;8.082.657.125.491.430;21.375.517.693.146.600;21.689.634.297.243.100;8.771.784.092.291.810;32.503.426.465.103.600;5.081.164.726.631.860;1.703.821.220.006.000;;52.471.301.485.472.400;0
Bytom;Silesian Voivodeship;Poland;35;75;5.848.667.070.247.960;21.044.120.540.579.700;33.095.389.596.753.200;6.095.883.817.488.380;3.123.757.857.574.450;4.824.519.329.136.100;1.181.333.768.964.570;6.193.507.808.615.870;4.874.534.245.985.100;0
Parnu;Parnu County;Estonia;75;25;8.470.545.998.692.100;19.948.971.647.950.400;26.559.380.405.574.200;7.904.381.266.348.060;3.517.389.246.324.650;4.915.197.052.913.350;9.504.879.668.328.320;6.614.635.511.404.140;29.358.019.953.242.700;0
Miskolc;Borsod-Abauj-Zemplen County;Hungary;4.444.444.444;15;9.228.581.629.853.330;1.809.446.965.386.130;10.345.399.314.574.100;605.698.914.296.931;;39.704.312.971.906.100;1.821.546.443.287.110;5.397.673.372.777.090;38.391.854.004.736.600;0
Corinth;Peloponnese Region;Greece;87.5;50;8.170.588.044.761.530;20.827.918.131.736.000;12.806.832.326.529.900;5.489.258.690.502.400;3.229.239.977.028.360;47.202.828.571.168.700;13.389.548.759.773.900;28.566.364.371.679.800;39.958.570.491.966.700;0
Czestochowa;Silesian Voivodeship;Poland;4.583.333.333;12.5;6.381.977.105.096.420;21.191.727.649.843.500;20.709.279.762.154.500;6.171.162.004.840.060;27.894.927.297.600.900;5.250.754.779.310.330;16.684.074.144.953.400;7.452.980.588.065.430;4.991.895.990.063.800;0
Rovaniemi;;Finland;100;15;6.989.813.770.294.970;22.100.023.527.034.000;20.769.519.635.864.700;8.361.018.660.492.270;30.752.315.882.358.400;32.658.635.982.044.200;1.228.623.693.266.910;627.686.154.045.542;4.808.582.691.098.530;0
Zabrze;Silesian Voivodeship;Poland;15.625;37.5;10.378.108.203.556.500;2.000.041.212.242.930;8.644.831.046.838.450;9.823.507.151.433.220;4.427.614.283.690.450;4.738.141.914.124.880;14.156.241.368.976.300;6.416.440.896.563.720;3.577.447.459.649.980;0
Ventspils;;Latvia;9.285.714.286;8.333.333.333;;18.210.057.280.095.200;17.423.407.988.916.700;6.815.718.722.305.150;;4.955.131.279.462.760;11.558.371.894.690.300;8.586.411.873.067.240;35.681.965.996.986.500;0
Lucena;;Philippines;5.416.666.667;6.923.076.923;35.908.223.640.059.900;21.370.229.899.617.200;33.431.671.122.053.400;5.542.363.643.899.620;308.380.612.133.381;4.656.301.194.498.780;18.126.923.689.535.300;500.810.539.605.979;4.144.780.872.709.730;0
Chorzow;Silesian Voivodeship;Poland;25;50;7.388.518.502.791.950;2.010.577.144.409.080;13.921.146.216.729.800;7.766.494.669.343.480;;5.607.747.290.451.240;14.467.094.899.865.100;7.437.401.767.003.850;4.409.053.528.240.360;0
Zgierz;Lodz Voivodeship;Poland;75;50;6.966.835.167.879.630;15.804.306.530.443.300;12.256.678.286.509.700;7.105.619.057.118.600;37.151.743.510.289;38.244.386.271.835.100;1.440.808.046.999.500;7.810.073.531.721.510;29.574.410.713.545.600;0
Bakal;Chelyabinsk Oblast;Russia;75;100;6.703.486.853.784.560;1.821.295.143.139.350;24.316.875.145.809.500;7.009.805.809.226.090;34.133.395.170.270.600;47.953.749.686.692.200;20.088.643.381.265.300;5.392.504.533.654.800;4.223.883.710.835.090;0
Balashikha;Moscow Oblast;Russia;25;5.833.333.333;71.396.712.562.776.100;18.342.797.475.723.100;16.916.413.537.349.500;6.539.415.890.942.060;;3.637.677.138.375.480;10.144.442.744.407.500;42.315.473.273.750.100;3.151.388.595.083.390;0
Elblag;Warmian-Masurian Voivodeship;Poland;5.416.666.667;50;6.648.793.010.019.950;2.139.599.878.501.700;16.388.405.264.965.600;7.656.506.229.429.670;35.772.813.129.269.700;37.268.699.538.561.700;15.379.518.621.419.700;31.895.507.379.008.700;5.138.047.828.184.830;0
Zielona Gora;Lubusz Voivodeship;Poland;75;12.5;;18.205.953.422.393.900;17.869.455.441.116.800;983.291.119.273.741;36.153.773.576.128.400;3.594.494.203.333.050;20.209.330.470.358.900;4.915.663.955.393.250;4.170.075.590.262.240;0
Plock;Masovian Voivodeship;Poland;3.333.333.333;45;7.940.713.224.453.510;19.704.996.531.372.100;10.762.938.632.419.300;7.515.814.624.361.210;3.847.911.340.697.310;4.061.167.839.661.610;16.237.265.347.286.400;7.461.165.349.978.040;29.901.508.910.892.100;0
Gorzow Wielkopolski;Lubusz Voivodeship;Poland;55;75;8.228.563.824.612.490;18.219.690.543.881.300;1.813.209.440.069.940;6.712.006.973.914.050;3.357.805.182.550.700;5.699.348.877.833.430;151.193.475.192.876;6.335.970.553.322.260;27.819.441.082.828.600;0
Radom;Masovian Voivodeship;Poland;40;50;866.569.208.287.077;16.235.968.676.676.100;38.024.116.810.167.200;6.281.552.958.779.080;;33.797.282.283.225.100;19.270.708.731.293.800;8.419.258.057.565.850;3.494.032.184.477.460;0
Slupsk;Pomeranian Voivodeship;Poland;87.5;50;5.064.042.459.574.990;21.452.932.829.291.100;2.103.510.685.521.580;9.134.812.616.976.620;;471.178.108.774.357;13.333.517.575.028.900;5.819.422.234.001.310;5.122.702.568.734.230;0
Sosnowiec;Silesian Voivodeship;Poland;1.785.714.286;25;78.943.227.825.227.300;176.319.303.983.598;116.976.069.722.698;8.198.105.709.931.500;3.767.839.890.646.330;38.301.910.133.865.800;12.677.487.943.718.800;57.280.265.494.898.700;2.865.031.442.985.620;0
Gliwice;Silesian Voivodeship;Poland;1.911.764.706;5.961.538.462;7.042.793.877.475.880;19.404.671.884.652.100;16.733.124.102.663.000;7.701.926.488.840.800;350.243.966.042.523;5.049.254.660.509.990;1.970.342.152.772.600;8.225.345.354.623.480;3.965.647.066.605.850;0
Legnica;Lower Silesian Voivodeship;Poland;50;50;8.305.063.984.234.730;17.717.439.355.102.300;8.451.319.110.908.960;5.807.121.707.735.630;33.587.171.849.939.500;36.169.143.675.502.100;14.359.351.178.497.200;5.092.667.057.016.850;4.461.210.732.047.670;0
Tarnow;Lesser Poland Voivodeship;Poland;37.5;50;826.830.759.203.937;168.687.890.271.917;13.181.673.516.106.800;6.383.226.137.929.180;2.983.070.930.770.490;2.942.980.647.361.990;12.366.424.357.289.100;7.920.647.326.283.950;4.405.408.198.445.280;0
Wloclawek;Kuyavian-Pomeranian Voivodeship;Poland;45;75;;19.957.052.513.598.000;2.530.510.293.017.560;5.956.792.225.706.750;32.913.325.487.354.800;2.875.960.624.748.220;13.786.141.492.621.900;3.378.155.731.671.320;41.330.693.385.738.000;0
Binangonan;;Philippines;75;50;7.397.562.417.753.870;2.179.367.988.994.450;24.502.155.146.145.900;5.919.099.072.332.410;;4.260.030.036.036.080;12.263.150.126.174.100;49.502.513.243.973.900;24.593.368.407.245.300;0
Cainta;;Philippines;45;60;6.367.298.530.432.270;18.378.949.102.754.500;11.619.709.696.795.000;6.035.221.327.328.300;34.382.801.532.210.600;36.277.543.920.188.600;1.664.369.604.247.890;732.592.207.744.983;26.147.660.596.382.000;0
Rybnik;Silesian Voivodeship;Poland;1.388.888.889;4.166.666.667;8.410.625.565.120.460;1.851.837.391.644.870;29.985.249.880.596.600;817.800.799.022.398;;4.899.043.467.157.240;17.697.765.467.757.900;7.423.007.643.722.750;43.522.957.788.197.600;0
Akranes;;Iceland;100;37.5;7.098.245.544.161.470;20.753.538.090.335.900;2.267.147.976.122.910;6.284.582.109.974.250;29.558.568.565.997.100;29.710.649.439.357.300;17.105.327.736.425.400;7.102.082.542.930.130;4.909.571.475.286.930;0
Sivas;Sivas Province;Turkey;3.333.333.333;75;7.322.502.050.459.660;19.610.429.767.213.300;1.953.442.164.849.960;666.115.743.127.202;2.978.413.812.518.470;41.807.551.053.196.500;17.161.767.683.773.000;6.946.735.908.438.410;2.981.649.192.437.010;0
Puerto Galera;;Philippines;50;50;5.198.224.971.294.210;17.311.982.132.608.800;11.178.403.543.794.900;5.893.458.351.780.590;343.209.876.448.911;3.900.656.160.436.110;14.160.899.492.423.100;6.543.300.783.947.380;3.807.318.102.819.920;0
Valmiera;;Latvia;100;50;;2.134.747.063.599.000;20.626.515.937.310.000;8.442.056.505.219.160;3.187.387.739.181.400;33.789.540.547.426.400;7.689.294.407.203.760;7.700.312.053.425.360;32.365.700.434.139.900;0
Belize City;Belize District;Belize;50;7.777.777.778;;215.750.220.701.636;3.677.613.749.886.940;6.669.056.600.452.000;29.411.104.373.676.300;4.898.858.713.499.460;11.180.349.601.666.500;;4.754.313.123.779.170;0
Dabrowa Gornicza;Silesian Voivodeship;Poland;3.333.333.333;25;6.280.905.112.787.960;17.870.720.011.619.700;1.695.001.590.699.420;7.866.135.208.545.800;370.326.349.763.824;388.552.620.694.231;10.971.431.871.144.800;7.460.802.345.456.270;30.212.889.092.957.400;0
Kilkenny;Leinster;Ireland;75;75;6.823.930.137.037.010;1.461.305.993.708.640;1.346.787.978.042.000;6.423.224.368.793.980;28.957.645.971.631.800;41.284.050.644.309.800;14.307.686.682.629.700;8.152.953.366.202.800;4.016.144.075.544.780;0
Pelotas;Rio Grande do Sul;Brazil;50;50;6.629.993.518.356.900;20.915.702.188.740.900;20.487.923.825.406.600;72.789.116.188.577.300;33.287.757.365.430.700;5.248.833.293.724.160;2.075.175.131.002.650;6.023.684.353.704.000;31.552.136.525.031.900;0
Matola;Maputo Province;Mozambique;37.5;50;10.301.571.270.693.700;1.996.093.635.972.810;11.278.829.678.470.600;7.464.893.143.133.990;43.344.816.811.018.000;46.197.928.577.438.400;17.099.096.356.293.600;6.319.083.547.481.520;38.578.519.748.426.900;0
Kolobrzeg;West Pomeranian Voivodeship;Poland;100;0;612.319.393.539.216;18.131.241.822.476.600;15.135.127.235.774.500;5.824.041.884.169.580;293.840.702.718.993;3.916.103.219.267.880;11.591.794.786.544.800;6.194.668.307.741.880;5.457.830.951.249.980;0
Caxias do Sul;Rio Grande do Sul;Brazil;85;37.5;;1.961.393.118.271.600;10.540.342.277.807.400;6.459.459.721.140.990;3.591.687.216.410.830;40.067.960.209.642.600;13.583.559.306.589.300;4.590.070.579.583.620;4.149.483.264.789.610;0
Mwanza;Mwanza Region;Tanzania;60;55;6.848.033.469.174.720;16.581.532.563.767.100;6.068.454.884.948.070;6.132.131.503.643.620;37.320.683.366.423.000;44.278.626.670.901.100;1.111.817.146.179.270;6.402.759.950.601.760;4.257.037.542.698.210;0
Walbrzych;Lower Silesian Voivodeship;Poland;3.611.111.111;60;;2.270.826.935.890.820;4.516.663.938.937.440;8.075.967.471.855.610;2.797.580.696.354.290;4.722.459.375.237.820;1.701.380.109.372.680;7.260.633.190.698.320;314.478.972.588.668;0
Puerto Princesa;Western Visayas;Philippines;62.5;5.416.666.667;6.411.525.835.916.650;19.768.487.912.832.800;19.505.296.944.750.600;8.262.397.946.352.620;;4.360.564.852.545.440;1.290.210.860.884.530;;22.006.782.017.544.600;0
Durango;Durango;Mexico;8.333.333.333;50;5.122.648.454.950.090;1.950.188.877.884.110;1.727.951.374.941.260;7.027.441.295.267.250;33.646.604.197.360.600;44.671.221.913.474.300;4.861.631.498.475.730;728.375.396.737.488;35.045.245.337.918.600;0
Chatham-Kent;Ontario;Canada;60;25;3.434.855.759.978.650;18.534.296.149.450.500;22.690.244.404.070.100;8.150.954.367.608.380;3.092.176.506.941.580;3.983.701.304.504.020;10.034.950.251.448.100;5.594.732.217.242.320;53.895.102.460.791.100;0
Chuzhou;Anhui;People's Republic of China;0;50;10.848.130.421.433.200;23.672.504.872.652.900;14.036.163.655.600.000;9.002.884.993.024.140;;5.649.028.128.454.190;17.405.817.715.350.700;;3.133.838.701.697.060;0
Elbasan;Elbasan County;Albania;0;25;8.725.393.412.154.080;21.361.037.181.832.800;1.886.267.305.435.680;8.670.126.667.077.590;32.402.710.551.049.800;39.622.901.020.212.400;2.005.573.720.722.560;9.659.145.991.238.880;45.655.421.540.494.400;0
Bar;Bar Municipality;Montenegro;56.25;50;10.351.742.528.378.800;24.167.179.977.276.700;1.858.830.332.581.780;8.784.378.178.977.710;;30.368.810.651.675.300;13.615.947.275.381.000;7.512.989.608.607.250;5.227.609.397.200.680;0
Korce;Korce County;Albania;75;25;8.174.028.130.575.550;1.923.904.297.923.970;19.808.537.766.302.400;6.955.821.311.242.530;37.770.018.853.940.800;50.352.217.244.233.300;1.378.097.300.450.080;59.542.768.697.160.700;3.986.780.704.094.190;0
Viseu;Viseu;Portugal;7.916.666.667;37.5;8.034.011.916.654.260;1.976.093.924.021.590;25.204.674.081.703.800;6.501.096.900.445.830;3.305.521.729.239.240;49.082.150.012.055.100;15.107.288.653.945.400;898.009.474.059.229;24.521.208.064.730.500;0
Leuven;Flemish Region;Belgium;56.25;37.5;8.205.541.814.653.980;18.827.718.776.299.400;19.902.823.823.816.500;5.002.791.911.930.390;;33.134.556.930.168.500;15.062.840.864.071.800;5.781.433.533.419.650;36.340.306.684.709.500;0
Mashhad;Razavi Khorasan Province;Iran;2.738.095.238;56.25;7.893.818.459.458.370;20.329.662.106.004.900;16.853.676.327.633.800;7.334.428.247.669.590;33.976.757.892.478.500;39.898.950.036.504.500;1.931.875.981.905.100;5.857.460.973.392.720;35.085.037.127.292.900;0
Port Shepstone;;South Africa;75;100;;21.840.554.471.945.700;11.370.649.169.374.300;6.866.826.341.851.620;39.284.190.678.945.900;2.845.511.731.224.260;1.609.552.022.591.800;;32.665.624.030.220.200;0
Jhelum;Punjab;Pakistan;87.5;87.5;54.881.354.688.390.200;1.925.079.836.142.210;21.715.774.408.674.800;5.454.063.428.048.610;;5.532.872.406.359.630;13.081.524.178.342.800;8.727.953.747.817.820;36.529.914.223.306.700;0
Eau Claire;Wisconsin;United States of America;9.642.857.143;3.333.333.333;8.163.074.030.614.220;16.223.184.570.645.600;10.494.573.368.799.000;8.087.495.753.688.600;4.239.520.283.347.400;4.873.183.456.742.140;16.011.608.200.391.900;699.767.192.461.293;4.128.193.137.247.910;0
Erzurum;Erzurum Province;Turkey;21.875;12.5;6.867.000.691.245.710;18.424.849.598.665.900;1.446.411.554.728.770;67.593.522.120.783.700;3.712.838.193.630.060;4.977.037.750.920.960;14.782.860.509.212.000;7.343.347.850.480.980;34.841.205.736.312.400;0
Nanyuki;;Kenya;100;25;58.217.069.136.202.500;2.201.254.225.517.980;4.000.972.361.003.080;6.631.835.991.821.180;;4.931.183.455.683.010;12.420.833.844.653.800;4.912.930.147.194.310;39.081.988.464.086.000;0
Grudziadz;Kuyavian-Pomeranian Voivodeship;Poland;45;0;74.518.887.792.117.500;2.032.002.856.113.060;1.582.518.257.101.370;67.542.424.970.073.200;;3.489.529.033.524.050;1.109.489.849.242.990;9.149.308.716.392.640;3.930.080.761.019.310;0
Dundee;Scotland;United Kingdom;8.888.888.889;8.333.333.333;6.898.315.040.728.930;22.880.280.364.020.200;459.396.891.579.836;9.564.026.660.415.790;3.778.135.053.824.870;3.923.823.256.829.380;13.872.994.262.085.700;6.698.358.863.187.690;3.822.307.139.365.950;0
Charlottesville;Virginia;United States of America;100;5.833.333.333;754.434.011.403.763;1.801.197.279.392.430;17.253.336.739.558.800;5.741.253.814.212.180;;5.759.221.716.807.670;14.861.906.208.232.700;58.754.980.692.180.000;4.435.514.109.196.100;0
Tijuana;Baja California;Mexico;3.333.333.333;6.923.076.923;4.103.867.855.230.830;16.828.365.132.507.000;22.207.470.232.223.400;5.850.079.945.096.550;;34.486.950.640.572.600;15.466.455.102.163.300;34.719.623.004.715.700;38.088.506.940.726.300;0
Vaasa;;Finland;92.5;8.333.333.333;5.329.938.815.249.270;1.960.346.230.520.390;24.000.523.143.797.200;5.729.574.898.504.870;3.350.923.218.449.920;5.117.051.873.083.980;18.588.090.626.839.900;6.845.803.744.806.280;5.799.322.350.328.870;0
Port Elizabeth;Eastern Cape;South Africa;8.026.315.789;56.25;6.962.993.545.041.660;20.681.788.714.499.300;2.403.659.382.679.380;7.691.454.199.173.900;35.663.256.146.213.400;5.522.730.552.697.680;8.574.690.965.276.370;8.862.013.892.553.350;4.760.381.754.960.560;0
Kimberley;Northern Cape;South Africa;31.25;87.5;684.605.994.179.889;17.782.912.709.058.900;16.515.670.391.024.400;6.147.209.936.934.440;3.089.016.958.958.330;5.429.970.993.819.680;12.626.473.770.813.500;6.090.025.424.796.450;4.709.374.128.291.760;0
Acre;Northern District;Israel;25;75;62.798.421.834.965.100;17.589.063.968.887.900;11.582.505.248.963.000;7.059.985.115.035.050;;430.322.091.892.864;15.674.785.167.250.600;8.676.025.720.293.020;3.278.584.410.433.220;0
Tangier;Tanger-Tetouan-Al Hoceima;Morocco;4.558.823.529;3.541.666.667;6.739.849.727.999.290;19.737.448.180.265.600;3.470.241.784.804.420;5.869.684.683.498.210;26.106.800.576.180.000;3.900.465.725.578.720;1.775.791.679.343.450;9.138.460.524.076.660;43.796.304.394.525.100;0
Wolverhampton;England;United Kingdom;3.333.333.333;3.333.333.333;5.495.035.446.034.110;18.443.483.624.840.400;26.744.301.741.742.600;7.356.517.092.999.120;33.203.028.478.519.100;45.964.217.162.082.900;1.841.792.399.218.830;7.187.557.365.083.040;4.115.428.052.361.770;0
Eisenstadt;Burgenland;Austria;87.5;50;75.837.702.990.430.800;21.728.326.240.967.000;3.634.340.705.514.040;8.532.725.772.698.730;375.964.391.222.051;39.387.768.299.357.200;17.442.301.311.156.400;7.772.225.679.070.390;3.642.289.213.931.960;0
Fort McMurray;Alberta;Canada;70;4.166.666.667;5.866.702.734.137.300;15.943.317.519.861.000;1.629.800.134.677.060;578.470.854.009.484;;5.252.137.906.966.150;11.055.445.949.057.700;7.928.873.961.121.580;5.302.972.731.364.210;0
Antibes;;France;65;3.333.333.333;6.394.980.461.331.700;2.204.223.891.479.770;21.051.256.906.654.700;87.395.051.283.663;34.804.776.048.348.500;35.336.541.839.326.100;19.637.041.624.544.700;4.870.998.868.529.140;4.732.002.727.289.710;0
Weinan;Shaanxi;People's Republic of China;0;50;5.821.261.629.656.030;20.404.888.998.474.000;3.717.400.541.355.080;786.781.524.178.014;3.290.195.541.682.100;46.678.326.401.214.900;1.398.870.665.820.170;9.682.696.136.427.750;4.371.078.785.200.280;0
Mangalore;Karnataka;India;6.509.433.962;4.753.289.474;55.140.621.851.991.700;2.125.550.662.759.950;2.785.974.830.636.320;6.646.355.629.546.830;2.864.748.064.858.650;5.245.479.748.918.910;1.306.780.306.145.350;9.991.838.656.838.910;446.036.293.825.241;0
Vantaa;Uusimaa;Finland;87.5;12.5;6.730.883.601.577.170;19.243.607.640.573.300;22.296.059.652.394.400;7.450.541.237.263.740;;3.263.507.452.027.740;1.182.740.117.330.910;;4.359.137.363.714.960;0
Beverly Hills;California;United States of America;100;0;5.198.067.642.905.190;20.046.444.487.775.300;37.200.242.064.765.700;7.401.099.400.667.650;3.117.948.866.428.870;5.731.355.323.579.300;1.723.865.591.477.500;749.482.169.651.606;3.295.033.859.358.620;0
Yonkers;New York;United States of America;100;50;;19.101.230.860.303.500;9.626.893.206.045.970;6.179.376.873.861.620;35.305.589.050.551.300;2.713.684.374.970.510;13.441.175.369.206.300;9.248.613.979.627.190;4.654.177.334.718.870;0
Niagara Falls;New York;United States of America;100;50;7.362.331.186.706.080;21.563.725.524.898.100;28.263.310.638.065.700;6.478.948.476.406.650;;4.176.082.144.324.270;1.655.254.306.872.580;5.639.934.641.231.160;3.933.564.969.736.750;0
Kingston upon Hull;England;United Kingdom;5.909.090.909;4.285.714.286;7.066.141.840.325.300;20.736.142.944.113.400;2.252.343.356.996.630;806.469.307.232.728;34.329.387.640.356.700;50.325.331.710.894.300;12.168.333.719.046.000;836.566.149.592.497;4.127.599.072.932.990;1
Waco;Texas;United States of America;81.25;68.75;5.420.347.746.957.920;23.238.682.737.740.400;2.510.720.862.979.830;6.536.679.802.286.150;;4.732.680.964.008.710;10.817.122.515.876.600;8.122.498.270.271.520;37.567.201.703.855.300;1
Frisco;Texas;United States of America;87.5;2.916.666.667;7.015.332.582.746.860;22.211.300.420.245.900;1.635.122.628.667.600;7.838.884.173.635.470;3.531.898.056.665.930;4.201.368.731.132.270;884.051.445.092.797;6.654.393.516.406.810;52.512.231.043.193.300;1
Beaumont;Texas;United States of America;7.083.333.333;87.5;;2.462.397.631.693.290;6.974.225.134.833.990;9.812.468.418.952.810;4.179.118.369.316.280;35.553.246.958.810.800;13.330.090.551.381.600;6.838.837.817.709.010;41.386.965.672.928.300;1
Denton;Texas;United States of America;62.5;37.5;6.044.671.753.329.080;15.067.102.108.930.500;1.359.360.001.791.620;6.456.238.476.905.320;40.173.739.204.707.900;39.220.674.143.207.400;19.827.391.815.216.100;435.642.926.066.726;4.914.883.755.535.080;1
Midland;Texas;United States of America;75;100;61.986.503.364.476.700;24.647.696.246.194.400;3.136.954.164.078.310;6.218.948.453.901.330;;5.270.007.955.647.550;10.522.934.631.947.100;6.212.546.897.977.030;35.741.720.224.410.300;1
Round Rock;Texas;United States of America;75;0;7.678.945.067.219.350;17.820.054.154.343.200;2.024.308.819.511.120;70.994.743.783.364.300;;3.639.740.597.257.930;11.913.203.931.459.800;5.827.370.011.313.390;308.954.964.758.435;1
Wichita Falls;Texas;United States of America;62.5;43.75;806.206.612.314.847;12.570.532.900.057.400;3.538.167.075.872.480;4.740.110.742.938.580;;46.346.164.010.252.200;70.912.289.574.613.900;9.859.456.046.083.170;30.400.314.978.062.700;1
Odessa;Texas;United States of America;100;50;7.255.798.597.493.360;2.001.637.946.160.670;32.595.120.243.522.100;75.724.354.712.978.900;32.455.151.350.734.700;489.272.160.165.231;12.305.634.411.994.500;4.568.742.145.475.980;3.968.177.082.539.270;1
Lafayette;Louisiana;United States of America;9.285.714.286;0;;2.394.399.530.627.970;15.426.915.078.767.200;8.731.751.182.884.090;39.231.217.341.333.700;3.649.564.912.534.730;14.162.010.466.213.700;7.076.599.159.013.850;34.301.673.233.947.300;1
Nis;Nisava District;Serbia;28.125;4.027.777.778;6.792.407.468.552.380;30.662.748.142.008.000;2.850.821.692.861.280;6.811.415.524.954.470;2.930.783.048.322.920;30.611.553.927.090.300;9.006.142.613.897.110;609.120.335.280.757;25.056.504.406.363.900;1
Oyster Bay;New York;United States of America;100;25;7.368.165.576.531.880;2.040.414.512.166.340;8.524.874.645.571.700;9.469.763.496.724.730;42.981.432.215.178.500;3.285.652.877.634.900;11.173.154.976.335.900;8.888.881.942.793.670;36.842.633.826.061.000;1
Galway;Connacht;Ireland;9.204.545.455;4.444.444.444;8.837.786.915.479.430;1.958.272.127.022.540;1.161.020.794.869.490;78.700.615.413.288;3.327.590.286.287.090;5.149.259.969.241.640;12.291.615.511.880.400;8.742.907.783.821.160;20.870.802.171.798.300;1
